file,selector,type,key_hint,text;;;;;
.\.venv\Lib\site-packages\setuptools\tests\indexes\test_links_priority\external.html,html > body > a,innerText,,bad old link;;;;;
.\.venv\Lib\site-packages\setuptools\tests\indexes\test_links_priority\simple\foobar\index.html,html > body > a:nth-of-type(1),innerText,,foobar-0.1.tar.gz;;;;;
.\.venv\Lib\site-packages\setuptools\tests\indexes\test_links_priority\simple\foobar\index.html,html > body > a:nth-of-type(2),innerText,,external homepage;;;;;
.\.venv\Lib\site-packages\tornado\test\static\dir\index.html,,innerText,,this is the index;;;;;
.\.venv\Lib\site-packages\tornado\test\templates\utf8.html,,innerText,,Héllo;;;;;
.\gallery\index.html,,innerText,,html;;;;;
.\gallery\index.html,html > head > title,innerText,,Gallery;;;;;
.\gallery\index.html,html > head,innerText,,Font Awesome: DEVE stare in ogni pagina (o in un layout comune);;;;;
.\gallery\index.html,html > head,innerText,,Stili/JS condivisi;;;;;
.\gallery\index.html,html > head,innerText,,Stili/JS specifici della pagina;;;;;
.\gallery\index.html,html > body > section.gallery-header > h2,innerText,,Nuestra Galería;;;;;
".\gallery\index.html,html > body > section.gallery-header > p,innerText,,""Descubre nuestros platos, cócteles, tartas y cafés en una experiencia visual única.""";;;;;
.\gallery\index.html,html > body > section.gallery-header > div.filter-buttons > button.active:nth-of-type(1),innerText,,Todos;;;;;
.\gallery\index.html,html > body > section.gallery-header > div.filter-buttons > button:nth-of-type(2),innerText,,Platos;;;;;
.\gallery\index.html,html > body > section.gallery-header > div.filter-buttons > button:nth-of-type(3),innerText,,Cocktails;;;;;
.\gallery\index.html,html > body > section.gallery-header > div.filter-buttons > button:nth-of-type(4),innerText,,Tartas;;;;;
.\gallery\index.html,html > body > section.gallery-header > div.filter-buttons > button:nth-of-type(5),innerText,,Cafés;;;;;
.\gallery\index.html,html > body > main#lightgallery,innerText,,Piatti;;;;;
.\gallery\index.html,html > body > main#lightgallery,innerText,,Cocktail;;;;;
.\gallery\index.html,html > body > main#lightgallery,innerText,,Torte;;;;;
.\gallery\index.html,html > body > main#lightgallery,innerText,,Caffè;;;;;
.\gallery\index.html,html,innerText,,Footer Ristorante;;;;;
.\gallery\index.html,html > body > section.gallery-header > h2,attr:data-i18n,gallery_title,gallery_title;;;;;
.\gallery\index.html,html > body > section.gallery-header > p,attr:data-i18n,gallery_intro,gallery_intro;;;;;
.\gallery\index.html,html > body > section.gallery-header > div.filter-buttons > button.active:nth-of-type(1),attr:data-i18n,filter_all,filter_all;;;;;
.\gallery\index.html,html > body > section.gallery-header > div.filter-buttons > button:nth-of-type(2),attr:data-i18n,filter_platos,filter_platos;;;;;
.\gallery\index.html,html > body > section.gallery-header > div.filter-buttons > button:nth-of-type(3),attr:data-i18n,filter_cocktail,filter_cocktail;;;;;
.\gallery\index.html,html > body > section.gallery-header > div.filter-buttons > button:nth-of-type(4),attr:data-i18n,filter_tartas,filter_tartas;;;;;
.\gallery\index.html,html > body > section.gallery-header > div.filter-buttons > button:nth-of-type(5),attr:data-i18n,filter_cafe,filter_cafe;;;;;
.\gallery\index.html,html > body > main#lightgallery > a.gallery-item.platos:nth-of-type(1) > img,attr:alt,,Saquitos;;;;;
.\gallery\index.html,html > body > main#lightgallery > a.gallery-item.platos:nth-of-type(2) > img,attr:alt,,Croquetas;;;;;
